area_type,area,fips,date,status,labor_force,employment,unemployment,unemployment_rate
County,Glenn County,06021,2020-01-01,Final,13224,12256,968,7.3
County,Humboldt County,06023,2020-01-01,Final,61835,59314,2521,4.1
County,Imperial County,06025,2020-01-01,Final,72432,59415,13017,18
County,Inyo County,06027,2020-01-01,Final,8703,8364,339,3.9
County,Kern County,06029,2020-01-01,Final,396113,362164,33949,8.6
County,Kings County,06031,2020-01-01,Final,58130,52666,5464,9.4
County,Lake County,06033,2020-01-01,Final,29119,27369,1750,6
County,Lassen County,06035,2020-01-01,Final,9890,9333,557,5.6
County,Los Angeles County,06037,2020-01-01,Final,5189152,4956929,232223,4.5
County,Madera County,06039,2020-01-01,Final,63353,58229,5124,8.1
County,Marin County,06041,2020-01-01,Final,139813,136458,3355,2.4
County,Mariposa County,06043,2020-01-01,Final,7037,6595,442,6.3
County,Mendocino County,06045,2020-01-01,Final,38310,36465,1845,4.8
County,Merced County,06047,2020-01-01,Final,115164,103893,11271,9.8
County,Modoc County,06049,2020-01-01,Final,3086,2786,300,9.7
County,Mono County,06051,2020-01-01,Final,9120,8798,322,3.5
County,Monterey County,06053,2020-01-01,Final,214066,193310,20756,9.7
County,Napa County,06055,2020-01-01,Final,72496,69957,2539,3.5
County,Nevada County,06057,2020-01-01,Final,49120,47324,1796,3.7
County,Orange County,06059,2020-01-01,Final,1622060,1575486,46574,2.9
County,Placer County,06061,2020-01-01,Final,188371,182162,6209,3.3
County,Plumas County,06063,2020-01-01,Final,7494,6705,789,10.5
County,Riverside County,06065,2020-01-01,Final,1106119,1059280,46839,4.2
County,Sacramento County,06067,2020-01-01,Final,714155,686476,27679,3.9
County,San Benito County,06069,2020-01-01,Final,31509,29552,1957,6.2
County,San Bernardino County,06071,2020-01-01,Final,969995,932074,37921,3.9
County,San Diego County,06073,2020-01-01,Final,1592880,1540005,52875,3.3
County,San Francisco County,06075,2020-01-01,Final,586524,573037,13487,2.3
County,San Joaquin County,06077,2020-01-01,Final,325129,303299,21830,6.7
County,San Luis Obispo County,06079,2020-01-01,Final,141151,136743,4408,3.1
County,San Mateo County,06081,2020-01-01,Final,462412,452570,9842,2.1
County,Santa Barbara County,06083,2020-01-01,Final,214297,204278,10019,4.7
County,Santa Clara County,06085,2020-01-01,Final,1055619,1027950,27669,2.6
