area,fips,date_start,date_end,variable,code,response,n,pct
Sacramento County,06067,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,78233,6.6
Sacramento County,06067,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,18054,1.5
San Benito County,06069,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,4803,10.4
San Benito County,06069,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1108,2.4
San Bernardino County,06071,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,99796,6.3
San Bernardino County,06071,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,23030,1.4
San Diego County,06073,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,182200,7
San Diego County,06073,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,42047,1.6
San Francisco County,06075,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,54627,7.2
San Francisco County,06075,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,12607,1.7
San Joaquin County,06077,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,45695,8.3
San Joaquin County,06077,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,10545,1.9
San Luis Obispo County,06079,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,14612,6.3
San Luis Obispo County,06079,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,3372,1.5
San Mateo County,06081,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,38536,6.4
San Mateo County,06081,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,8893,1.5
Santa Barbara County,06083,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,23265,6.7
Santa Barbara County,06083,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,5369,1.5
Santa Clara County,06085,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,93610,6.3
Santa Clara County,06085,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,21603,1.4
Santa Cruz County,06087,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,18228,8.3
Santa Cruz County,06087,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,4207,1.9
Shasta County,06089,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,8844,6.3
Shasta County,06089,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,2041,1.4
Sierra County,06091,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,138,5.4
Sierra County,06091,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,32,1.3
Siskiyou County,06093,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,2068,6
Siskiyou County,06093,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,477,1.4
Solano County,06095,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,23837,6.9
Solano County,06095,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,5501,1.6
Sonoma County,06097,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,28313,7.2
Sonoma County,06097,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,6534,1.7
Stanislaus County,06099,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,32145,8
Stanislaus County,06099,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,7418,1.9
Sutter County,06101,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,6503,9.1
Sutter County,06101,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,1501,2.1
Tehama County,06103,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,2886,5.8
Tehama County,06103,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,666,1.3
Trinity County,06105,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,438,4.3
Trinity County,06105,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,101,1
Tulare County,06107,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,30046,9.4
Tulare County,06107,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,6934,2.2
Tuolumne County,06109,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,2950,6.5
Tuolumne County,06109,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,681,1.5
Ventura County,06111,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,45224,7
Ventura County,06111,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,10437,1.6
Yolo County,06113,2020-06-04,2020-06-09,curfoodsuf,3,Sometimes not enough to eat,9334,5.4
Yolo County,06113,2020-06-04,2020-06-09,curfoodsuf,4,Often not enough to eat,2154,1.2
